Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Mean Radiant Temperature [C](Hourly),PLANTAX08:OFFICE MI_OBJETO_PEOPLE:Zone Thermal Comfort Operative Temperature [C](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),Carbon Equivalent:Facility [kg](Hourly)
 01/19  17:00:00,11.216666666666667,8.533333333333334,102400.0,1.7249999999999999,270.0,105.16666666666667,375.5,224.31387657520529,18.067427007527784,-0.0970512024169445,5.204232089490437,22.973811401030063,22.71301041301697,966528.0154354514,0.0,0.0
 01/19  18:00:00,11.475,8.933333333333332,102400.0,1.4250000000000005,270.0,59.083333333333339,206.41666666666667,235.33934914684697,8.973274637535806,-0.059746327274184048,5.074015157010561,22.98397867653669,22.795545605153028,966528.0154354514,0.0,0.0
 01/19  19:00:00,11.716666666666667,9.275,102400.0,1.125,171.66666666666667,7.666666666666664,19.08333333333333,244.90976705682815,-1.343261975630839,-0.09084024523773293,5.175939838502352,22.696404249362059,22.60158398622939,966528.0154354514,0.0,0.0
 01/19  20:00:00,11.450000000000001,9.225,102400.0,1.2333333333333335,50.0,0.0,0.0,253.57080125157439,-12.465831922337023,-0.1334294398913802,5.371339010606635,22.47819977615652,22.380818090875385,966528.0154354514,0.0,0.0
 01/19  21:00:00,10.85,8.924999999999999,102400.0,1.575,50.0,0.0,0.0,261.9097296962172,-24.087010014554193,-0.17295279050408406,5.622751967548067,22.317371490792124,22.193717776733167,966528.0154354514,0.0,0.0
 01/19  22:00:00,10.25,8.566666666666669,102458.33333333333,1.9333333333333334,125.83333333333333,0.0,0.0,270.64912124534109,-35.951341006112688,-0.21356571528154889,5.948896093254923,22.169191028756698,22.01886295227638,966528.0154354514,0.0,0.0
 01/19  23:00:00,10.0,8.4,102441.66666666667,1.6916666666666667,180.0,0.0,0.0,280.94916444855519,-47.776262119727999,-0.2507250619603189,6.306380278148552,22.040427635287697,21.869071043986524,966528.0154354514,0.0,0.0
 01/19  24:00:00,10.0,8.4,102400.0,0.9916666666666667,180.0,0.0,0.0,295.26382860651617,-59.07382161953662,-0.2760454938144579,6.583395494373136,21.93817597267943,21.768806763915355,966528.0154354514,0.0,0.0
 01/20  01:00:00,10.0,8.4,102400.0,0.2916666666666667,75.0,0.0,0.0,40.319182661477508,-68.3378295973753,-0.2954867299438792,6.814645824257958,21.856674945090889,21.69186756057654,966528.0154354514,0.0,0.0
 01/20  02:00:00,9.766666666666668,8.4,102400.0,0.17500000000000003,0.0,0.0,0.0,11.702021963194833,-72.47094128617498,-0.3143588202359963,7.055119828551267,21.780490138991895,21.617381290123708,966528.0154354514,0.0,0.0
 01/20  03:00:00,9.366666666666668,8.4,102341.66666666667,0.5333333333333333,0.0,0.0,0.0,40.90187884828102,-68.19882048220437,-0.3392623748506492,7.395281663669294,21.698061036948685,21.520579297557224,966528.0154354514,0.0,0.0
 01/20  04:00:00,8.966666666666667,8.4,102300.0,0.875,354.1666666666667,0.0,0.0,64.83788151471221,-58.68930629551994,-0.3645170626821026,7.766751054057309,21.61716321989096,21.42167367547437,966528.0154354514,0.0,0.0
 01/20  05:00:00,8.975,8.4,102300.0,0.8250000000000001,350.0,0.0,0.0,79.06328818283633,-47.38812239977398,-0.3846525582283366,8.081727149589512,21.549688117434966,21.3436222273774,966528.0154354514,0.0,0.0
 01/20  06:00:00,9.216666666666667,8.4,102300.0,0.46666666666666675,350.0,0.0,0.0,89.34684218767622,-35.56307867663164,-0.39267972736307046,8.212184463779663,21.50619221340554,21.31211242069364,966528.0154354514,0.0,0.0
 01/20  07:00:00,9.475,8.4,102300.0,0.125,295.8333333333333,0.0,0.0,98.09303658027933,-23.698758306031338,-0.396634565571232,8.27755662867247,21.476515149784026,21.29770740521673,966528.0154354514,0.0,0.0
 01/20  08:00:00,9.716666666666667,8.575000000000001,102300.0,0.4083333333333334,0.0,0.0,0.0,106.45018207605055,-12.07815653151708,-0.39982543413010426,8.330832843383803,21.445927478035725,21.284754156499074,966528.0154354514,0.0,0.0
 01/20  09:00:00,9.916666666666666,8.875,102300.0,1.1666666666666668,11.666666666666666,4.083333333333333,0.0,115.1394744823852,-0.9582349245872589,-0.41408001251589518,8.575810930913177,21.3587094568212,21.21911613020084,966528.0154354514,0.0,0.0
 01/20  10:00:00,9.65,8.766666666666668,102358.33333333333,3.599999999999999,25.833333333333333,33.916666666666667,0.0,124.7507638481416,9.35103965273195,-0.4329847538013207,8.910285574803682,21.30191467228195,21.135936770330195,966528.0154354514,0.0,0.0
 01/20  11:00:00,9.691666666666667,8.891666666666668,102400.0,4.808333333333334,30.0,79.91666666666667,0.0,135.8337248823226,18.42924299562195,-0.430058296058711,8.85892965902894,21.354996953687374,21.149598539329366,966528.0154354514,0.0,0.0
 01/20  12:00:00,10.25,9.391666666666668,102400.0,4.308333333333334,30.0,120.33333333333333,0.0,148.83238157881977,25.70638644009166,-0.3901244754644398,8.173164727939876,21.492844620686954,21.305252251269964,966528.0154354514,0.0,0.0
 01/20  13:00:00,10.791666666666666,9.833333333333334,102400.0,3.8083333333333337,24.166666666666669,161.08333333333335,13.499999999999999,163.82185196849628,30.4917062718211,-0.35553393297335786,7.631383449868596,21.584868012972874,21.42762335492021,966528.0154354514,0.0,0.0
 01/20  14:00:00,11.641666666666666,10.525,102400.0,3.3083333333333337,20.0,232.41666666666667,99.41666666666667,180.15047320470218,32.15429250832184,-0.2955061344101003,6.8359241376786319,21.849280018664449,21.652339762836488,966528.0154354514,0.0,0.0
 01/20  15:00:00,12.683333333333332,11.366666666666668,102400.0,2.8083333333333337,20.0,226.41666666666667,243.41666666666667,196.46544872526759,30.431118469789046,-0.17565249751836774,5.663630452141128,22.279553216577498,22.106891928377399,966528.0154354514,0.0,0.0
 01/20  16:00:00,13.741666666666668,12.108333333333333,102400.0,2.308333333333333,280.8333333333333,167.16666666666669,381.6666666666667,211.42200095495006,25.594324645555969,-0.055564176501390529,5.088967209599265,22.67547509841958,22.545782429612854,966528.0154354514,0.0,0.0
 01/20  17:00:00,14.141666666666666,12.225000000000002,102400.0,2.1,210.0,94.41666666666667,438.8333333333333,224.38352396058486,18.27853906490488,0.0499940771228059,5.061550417421064,22.982814220120856,22.916349540042785,966528.0154354514,0.0,0.0
 01/20  18:00:00,13.983333333333335,11.925000000000003,102458.33333333333,2.1,210.0,54.25,247.16666666666667,235.43522783482079,9.173383558434019,0.0865286370179118,5.155243429328611,23.030610404728227,23.016279094307835,966528.0154354514,0.0,0.0
 01/20  19:00:00,13.841666666666667,11.625,102558.33333333333,2.1,250.83333333333335,7.25,22.999999999999998,245.02476736080295,-1.1539422728859537,0.041713515246968087,5.044531519636865,22.73787076480481,22.797953906611295,966528.0154354514,0.0,0.0
 01/20  20:00:00,13.158333333333334,10.508333333333333,102600.0,2.1,280.0,0.0,0.0,253.70260141590635,-12.285462896270424,-0.020832455307340418,5.015867567575424,22.50416066788797,22.53745453334031,966528.0154354514,0.0,0.0
 01/20  21:00:00,12.116666666666666,8.633333333333333,102658.33333333333,2.1,280.0,0.0,0.0,262.05970338270938,-23.912716498833647,-0.08958646504792117,5.174862393485671,22.320123616400609,22.29474664049748,966528.0154354514,0.0,0.0
 01/20  22:00:00,11.058333333333332,6.516666666666667,102758.33333333333,2.1,309.1666666666667,0.0,0.0,270.8215205758553,-35.7790904309536,-0.16459553300038208,5.571987969274879,22.14086092426327,22.06067283292902,966528.0154354514,0.0,0.0
 01/20  23:00:00,9.083333333333334,6.416666666666667,102800.0,0.875,287.5,0.0,0.0,281.1492047286137,-47.600020476251248,-0.2502212688864247,6.314476509282585,21.951883869224234,21.79984839010828,966528.0154354514,0.0,0.0
 01/20  24:00:00,7.416666666666667,6.358333333333334,102800.0,0.0,0.0,0.0,0.0,295.4847232187952,-58.88403385629359,-0.3390143732358886,7.4014018941323889,21.75255931065836,21.501901003569814,966528.0154354514,0.0,0.0
 01/21  01:00:00,6.416666666666667,5.2,102858.33333333333,0.0,0.0,0.0,0.0,40.16504698772523,-68.12081405480206,-0.4134440375913409,8.571757713990799,21.559597125104874,21.257977132581137,978084.6045074145,0.0,0.0
 01/21  02:00:00,6.0,4.875,102900.0,0.0,0.0,0.0,0.0,11.582506167979167,-72.25938124694426,-0.4571699146974159,9.362382043600422,21.40171524826829,21.138985115338938,2065094.0783559522,0.0,0.0
